,Who,What,Score
225,Rivulets,I Remember Everything,8.0
226,Rivulets,We're Fucked,7.3
227,Father John Misty,Pure Comedy,7.6
229,Macintosh Plus,Floral Shoppe,8.0
230,SZA,Ctrl,8.0
231,The Killers,Wonderful Wonderful,8.0
234,Macklemore,GEMINI,8.6
236,Harrison Storm,Change It All,7.5
237,Lowland Hum,Thin (B-Sides),7.7
239,Charlotte Cardin,Main Girl EP,8.0
240,Dive Deep,Andrew Belle,8.9
241,Unseen Keys,Waiting,8.5
242,ROSTAM,Half-Light,8.3
244,Xxxtentacion,17,8.1
246,The War On Drugs,A Deeper Understanding,7.9
247,Elli Ingram,Love You Really,8.0
248,The Rolling Stones,Their Satanic Majesties Request. 50th Anniversary Special Edition. ,8.5
250,Hurts,Desire,8.6
252,Ibeyi,Ash,8.7
253,Jamie Lawson,Happy Accidents,7.7
254,Benjamin Clementine,I Tell A Fly,8.2
257,Bad Sounds,Mixtape One,8.0
258,Hus,Kakkmaddafakka,8.3
259,Liam Gallagher,As You Were,7.8
260,TOKiMONSTA,Lune Rouge,7.3
261,New Politics,Lost in Translation,8.5
262,Kele Okereke,Fatherland,8.5
263,JP Cooper,Raised Under Grey,8.0
265,Jacob Sartorius,Left Me Hangin',7.5
266,Alex Hahn,Emerging,8.0
268,The National,Sleep Well Beast,8.0
270,dePresno,Forever,7.8
271,Shekhinah,Rose Gold,7.9
272,P!nk,Beautiful Trauma,7.8
273,Beck,Colors,8.6
275,Morgan Saint,17 HERO,7.7
276,The Strokes,First Impressions Of Earth,8.9
277,The Strokes,Is This It,8.0
278,The Strokes,Comedown Machine,9.0
279,Julian Casablancas,Phrazes For The Young,8.4
280,Maroon 5,Red Pill Blues,8.1
281,Sam Smith,The Thrill Of It All,9.0
282,Majid Jordan,The Space Between,7.5
283,Alvvays,Alvvays,9.0
284,Róisín Murphy,Overpowered,9.1
